team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
Bayern Munich,27,2026,26.0,Sven Ulreich,40680,Goalkeeper,38,Germany,30/06/2027,€500k,500000.0,https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680,3.57
Borussia Dortmund,16,2026,8.0,Felix Nmecha,406640,Central Midfield,25,Germany|England,30/06/2030,€55.00m,55000000.0,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640,98.21
Borussia Dortmund,16,2026,4.0,Nico Schlotterbeck,388198,Centre-Back,26,Germany,30/06/2031,€55.00m,55000000.0,https://www.transfermarkt.com/nico-schlotterbeck/profil/spieler/388198,98.21
Borussia Dortmund,16,2026,1.0,Gregor Kobel,257814,Goalkeeper,28,Switzerland,30/06/2028,€40.00m,40000000.0,https://www.transfermarkt.com/gregor-kobel/profil/spieler/257814,89.29
Borussia Dortmund,16,2026,7.0,Jobe Bellingham,796297,Central Midfield,20,England|Ireland,30/06/2030,€40.00m,40000000.0,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297,89.29
Borussia Dortmund,16,2026,14.0,Maximilian Beier,578392,Centre-Forward,23,Germany,30/06/2029,€40.00m,40000000.0,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392,89.29
Borussia Dortmund,16,2026,19.0,Konstantinos Karetsas,990148,Attacking Midfield,18,Greece|Belgium,30/06/2031,€35.00m,35000000.0,https://www.transfermarkt.com/konstantinos-karetsas/profil/spieler/990148,82.14
Borussia Dortmund,16,2026,9.0,Serhou Guirassy,270541,Centre-Forward,30,Guinea|France,30/06/2028,€32.00m,32000000.0,https://www.transfermarkt.com/serhou-guirassy/profil/spieler/270541,78.57
Borussia Dortmund,16,2026,25.0,Joey Veerman,408574,Central Midfield,27,Netherlands,30/06/2031,€25.00m,25000000.0,https://www.transfermarkt.com/joey-veerman/profil/spieler/408574,73.21
Borussia Dortmund,16,2026,26.0,Julian Ryerson,370789,Right-Back,28,Norway|United States,30/06/2028,€25.00m,25000000.0,https://www.transfermarkt.com/julian-ryerson/profil/spieler/370789,73.21
Borussia Dortmund,16,2026,24.0,Daniel Svensson,579287,Left-Back,24,Sweden,30/06/2029,€22.00m,22000000.0,https://www.transfermarkt.com/daniel-svensson/profil/spieler/579287,64.29
Borussia Dortmund,16,2026,21.0,Fábio Silva,505653,Centre-Forward,24,Portugal,30/06/2030,€22.00m,22000000.0,https://www.transfermarkt.com/fabio-silva/profil/spieler/505653,64.29
Borussia Dortmund,16,2026,45.0,Giannis Konstantelias,628331,Attacking Midfield,23,Greece,30/06/2031,€22.00m,22000000.0,https://www.transfermarkt.com/giannis-konstantelias/profil/spieler/628331,64.29
Borussia Dortmund,16,2026,17.0,Carney Chukwuemeka,659459,Central Midfield,22,Austria|England,30/06/2030,€20.00m,20000000.0,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,55.36
Borussia Dortmund,16,2026,22.0,Joane Gadou,1075577,Centre-Back,19,France|Cote d'Ivoire,30/06/2031,€20.00m,20000000.0,https://www.transfermarkt.com/joane-gadou/profil/spieler/1075577,55.36
Borussia Dortmund,16,2026,3.0,Waldemar Anton,193004,Centre-Back,30,Germany,30/06/2028,€18.00m,18000000.0,https://www.transfermarkt.com/waldemar-anton/profil/spieler/193004,50.0
Borussia Dortmund,16,2026,40.0,Samuele Inácio,1058359,Second Striker,18,Italy|Brazil,30/06/2029,€15.00m,15000000.0,https://www.transfermarkt.com/samuele-inacio/profil/spieler/1058359,46.43
Borussia Dortmund,16,2026,36.0,Kauã Prates,1275068,Left-Back,18,Brazil,30/06/2031,€10.00m,10000000.0,https://www.transfermarkt.com/kaua-prates/profil/spieler/1275068,41.07
Borussia Dortmund,16,2026,49.0,Luca Reggiani,1074990,Centre-Back,18,Italy,,€10.00m,10000000.0,https://www.transfermarkt.com/luca-reggiani/profil/spieler/1074990,41.07
Borussia Dortmund,16,2026,5.0,Ramy Bensebaini,284732,Centre-Back,31,Algeria,30/06/2027,€7.00m,7000000.0,https://www.transfermarkt.com/ramy-bensebaini/profil/spieler/284732,35.71
Borussia Dortmund,16,2026,20.0,Marcel Sabitzer,106987,Central Midfield,32,Austria,30/06/2027,€6.00m,6000000.0,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,32.14
Borussia Dortmund,16,2026,28.0,Justin Lerma,1185507,Attacking Midfield,18,Ecuador,30/06/2031,€3.20m,3200000.0,https://www.transfermarkt.com/justin-lerma/profil/spieler/1185507,28.57
Borussia Dortmund,16,2026,23.0,Emre Can,119296,Centre-Back,32,Germany|Türkiye,30/06/2027,€3.00m,3000000.0,https://www.transfermarkt.com/emre-can/profil/spieler/119296,25.0
Borussia Dortmund,16,2026,39.0,Filippo Mane,883007,Centre-Back,21,Italy|Senegal,30/06/2028,€2.50m,2500000.0,https://www.transfermarkt.com/filippo-mane/profil/spieler/883007,21.43
Borussia Dortmund,16,2026,33.0,Alexander Meyer,76158,Goalkeeper,35,Germany,30/06/2027,€500k,500000.0,https://www.transfermarkt.com/alexander-meyer/profil/spieler/76158,17.86
Borussia Dortmund,16,2026,41.0,Mathis Albert,1193849,Left Winger,17,United States|Germany,30/06/2027,€300k,300000.0,https://www.transfermarkt.com/mathis-albert/profil/spieler/1193849,12.5
Borussia Dortmund,16,2026,30.0,Patrick Drewes,94192,Goalkeeper,33,Germany,30/06/2027,€300k,300000.0,https://www.transfermarkt.com/patrick-drewes/profil/spieler/94192,12.5
Borussia Dortmund,16,2026,48.0,Mussa Kaba,1141179,Defensive Midfield,17,Germany|Guinea,30/06/2031,€200k,200000.0,https://www.transfermarkt.com/mussa-kaba/profil/spieler/1141179,5.36
